楷飞喊,2020,2025
0 - 4技,1776616,1219810
5 - 9技,2278285,1766989
10 - 14技,2250969,2271667
15 - 19技,2518218,2267007
20 - 24技,3392351,2660295
25 - 29技,3645542,3476469
30 - 34技,3307803,3670087
35 - 39技,3866979,3305481
40 - 44技,3872171,3851246
45 - 49技,4385732,3865770
50 - 54技,4338269,4367799
55 - 59技,4237067,4292571
60 - 64技,3814370,4155466
65 - 69技,2662232,3688605
70 - 74技,1990347,2527085
75 - 79技,1608464,1820534
80技捞惑,1890824,2477683
100技 捞惑,5353,7629
