연도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
전체가구,14507010,14775329,15109514,15433649,15732068,16038858,16322100,16601723,16883417,17167884,17494884,17879317,18118513,18388488,18704975,19012895,19281443,19570670,19876352,20220447,20730614,21272581,21663978,21970523,22179969,22388821
1인가구,2255298,2438225,2628346,2818062,3001257,3185621,3377666,3571412,3766306,3963334,4174073,4379916,4563342,4756220,4964662,5137971,5332365,5544152,5771150,6046695,6476735,6989675,7388942,7713031,7940723,8155636
