연도,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
노년부양비,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.8,5.7,5.6,5.7,5.8,5.6,5.6,5.7,6,6,6,6,6.1,6.1,6.2,6.3,6.3,6.4,6.5,6.6,6.7,6.9,7,7.4,7.5,7.7,7.9,8.1,8.3,8.6,8.9,9.3,9.6,10.1,10.5,11,11.5,12,12.5,13,13.5,14,14.4,14.8,15,15.6,16.3,16.8,17.5,18,18.8,19.6,20.4,21.8,23.1,24.4,25.8,27.4,29.3,31.3,33,34.8,36.3,38,39.7,41.4,43.2,45.5,47.7,50.1,52.4,54.7,57.1,59.1,60.9,62.6,64.4,66.2,68.4,70.7,72.9,74.9,76.3,77.3,78.4,79.3,80.1,81,82.1,83.2,84.9,86.7,88.5,90.3,92.2,94,95.8,97.4,99.1,100.8,101.7,102.3,103,103.3,103.6,104.2
노령화지수,6.9,6.8,6.8,6.9,6.9,7,7.2,7,6.9,7,7.2,7.7,7.5,7.8,8.1,8.9,9.4,9.9,10.3,10.8,11.2,11.6,12.1,12.6,13.3,14.2,15,16,17.1,18.2,20,20.9,21.7,22.7,23.9,25.2,26.9,28.6,30.4,32.3,34.3,36.2,38.6,41.1,43.8,46.8,50.4,54.6,58.8,62.9,67.2,71,76.1,81.5,87,93,98.4,105.1,111.7,119.2,129.3,139.4,151,165.4,181.2,199.9,222.7,244,267.6,288.2,312,336,356.8,375.1,393.1,406.7,418.7,427.6,434.6,439.8,442.2,443.7,446,449.7,454.6,462.1,470.5,479.8,488.6,496.5,504,512.8,522.4,532.6,543.5,555.6,568.6,584.3,601.3,618.8,636.9,655.6,673.8,691.2,706.6,721,732.8,739.1,741.8,742,738.6,733,726.8
